Sample	Target UMEND Count (M)	Seed	Total Reads	UM Reads	UMND Reads	UMEND Reads	Percent UMEND Reads
S1	1	2771	 1,191,561	 1,052,240	 1,113,790	   969,044	81.3
S1	2	3433	 2,523,012	 2,228,072	 2,309,220	 2,003,473	79.4
S1	4	5411	 5,242,557	 4,629,166	 4,653,370	 4,022,360	76.7
S1	6	9891	 8,037,440	 7,097,345	 6,969,384	 6,005,565	74.7
S1	8	2622	10,907,904	 9,630,665	 9,272,652	 7,973,218	73.1
S1	10	8652	13,854,128	12,233,133	11,577,196	 9,932,240	71.7
S1	12	9311	16,876,470	14,906,440	13,884,231	11,889,325	70.4
S1	14	6289	19,974,506	17,641,224	16,204,104	14,020,201	70.2
S1	16	6933	23,145,211	20,438,883	18,524,980	15,997,869	69.1
S1	18	0675	26,391,159	23,309,455	20,856,362	17,985,571	68.1
S1	20	2226	29,709,318	26,236,246	23,201,718	19,974,190	67.2
S1	24	1120	36,559,290	32,287,760	27,921,195	23,974,325	65.6
S1	28	6451	43,665,129	38,562,105	32,670,720	27,976,525	64.1
S1	32	3920	51,002,535	45,037,545	37,432,661	31,972,726	62.7
S1	36	7519	58,558,309	51,711,861	42,200,691	35,967,986	61.4
S1	40	4956	66,343,416	58,587,473	46,990,952	39,962,800	60.2
S1	44	7750	74,358,987	65,665,871	51,799,616	43,964,723	59.1
S1	48	9314	82,603,751	72,946,683	56,632,046	47,973,977	58.1
