proposed_threshold	percentile_to_query	predicted_total_reads
1	0.95	2993506.540560085
4	0.95	11974026.16224034
8	0.95	23948052.32448068
12	0.95	35922078.48672102
16	0.95	47896104.64896136
20	0.95	59870130.81120169
24	0.95	71844156.97344203
28	0.95	83818183.13568237
32	0.95	95792209.29792272
36	0.95	107766235.46016306
40	0.95	119740261.62240338
44	0.95	131714287.78464374
48	0.95	143688313.94688407
