parent_sample	focus_sample	first_degree_neighbor_sample
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0388_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0389_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0390_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0391_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0392_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0393_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0394_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0396_S01
TH_Eval_016	TH_Eval_016_est6M_UMEND_seqtk_seed_6518	THR17_0397_S01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-06-0130-01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-06-0171-02
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-06-0644-01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-12-0619-01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-28-2513-01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	TCGA-HT-7882-01
TH_Eval_015	TH_Eval_015_est32M_UMEND_seqtk_seed_4233	THR14_0298_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0387_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0388_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0389_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0390_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0391_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0392_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0393_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0394_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0395_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0396_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0397_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0398_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0400_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR17_0402_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR20_0492_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR20_0493_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR20_0495_S01
TH_Eval_016	TH_Eval_016_est24M_UMEND_seqtk_seed_6740	THR20_0497_S01
