parent_sample	focus_sample	first_degree_neighbor_sample
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	TH34_1163_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR28_0686_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR28_0687_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR28_0688_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0722_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0724_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0725_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0727_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0728_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0729_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0730_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0731_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0732_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0733_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0735_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0736_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0741_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0743_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0745_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0746_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0747_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0748_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0749_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0750_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0752_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0755_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0758_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0759_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0761_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0763_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0764_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0765_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0766_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0768_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0770_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0773_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0776_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0778_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0779_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0781_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0783_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0784_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0785_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0786_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0789_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0790_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0791_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0792_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0793_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0795_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0798_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0799_S01
TH_Eval_014	TH_Eval_014_est14M_UMEND_seqtk_seed_6289	THR29_0800_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0387_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0388_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0389_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0390_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0391_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0392_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0393_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0394_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0395_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0396_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR17_0397_S01
TH_Eval_016	TH_Eval_016_est8M_UMEND_seqtk_seed_7537	THR20_0492_S01
TH_Eval_019	TH_Eval_019_est16M_UMEND_seqtk_seed_7924	TH03_0018_S01
TH_Eval_019	TH_Eval_019_est16M_UMEND_seqtk_seed_7924	TH03_0018_S02
TH_Eval_019	TH_Eval_019_est16M_UMEND_seqtk_seed_7924	THR32_0941_S01
TH_Eval_019	TH_Eval_019_est16M_UMEND_seqtk_seed_7924	THR32_0946_S01
TH_Eval_019	TH_Eval_019_est16M_UMEND_seqtk_seed_7924	THR32_0949_S01
TH_Eval_016	TH_Eval_016_est1M_UMEND_seqtk_seed_7649	THR17_0392_S01
TH_Eval_019	TH_Eval_019_est2M_UMEND_seqtk_seed_3878	THR32_0941_S01
TH_Eval_019	TH_Eval_019_est2M_UMEND_seqtk_seed_3878	THR32_0949_S01
