gene	parent_id	expression_bin	sample_id	expression	target_UMEND_count	median_of_depth_bin	publication_id
COMTD1	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.55090066465	40	40	S1
COMTD1	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.62293035092	8	8	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.49057013045	32	32	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.55090066465	1	0	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.51096191928	20	20	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.41683974191	4	4	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.52606881167	44	44	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.62293035092	28	28	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.50589092973	36	36	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.38956681176	16	16	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.44890095115	12	12	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.60880924268	24	24	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.50589092973	48	48	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.49057013045	40	40	S1
PLA2G4A	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.15704371015	8	8	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.24488705912	32	32	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	2.88557436437	1	0	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.67355642399	20	20	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.63691458036	4	4	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.49057013045	44	44	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.68257329735	28	28	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.83187724119	36	36	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.84398384405	16	16	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.38956681176	12	12	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.40053792958	24	24	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.516015147	48	48	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.66448284036	40	40	S1
C6orf49	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.11103131239	8	8	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.6599245584	32	32	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	2.0285691522	1	0	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.58014548442	20	20	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.81147103053	4	4	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.60880924268	44	44	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.66448284036	28	28	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.48542682717	36	36	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.32192809489	16	16	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.43829285158	12	12	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.53106949273	24	24	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.49057013045	48	48	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.65076455912	40	40	S1
MALRD1	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.76977173925	8	8	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.28688114779	32	32	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	0.731183241572	1	0	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.31614574229	20	20	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.516015147	4	4	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.56071495447	44	44	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.36737106565	28	28	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.31034012061	36	36	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.42223300068	16	16	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.44360665148	12	12	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.58496250072	24	24	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48026512205	48	48	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.29865831556	40	40	S1
NEMP2	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	2.0071955014	8	8	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.56071495447	32	32	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	2.81147103053	1	0	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.30451104181	20	20	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.10433665981	4	4	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.47508488295	44	44	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.55581615506	28	28	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.35049724708	36	36	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.36176835942	16	16	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.15055967658	12	12	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.464668267	24	24	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48026512205	48	48	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.49057013045	40	40	S1
RP11-412D9.4	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.47508488295	8	8	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.47508488295	32	32	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	1.37295209791	1	0	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.35049724708	20	20	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.24488705912	4	4	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.30451104181	44	44	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.26903314646	28	28	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.53106949273	36	36	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.54101915313	16	16	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.28688114779	12	12	S1
SPTB	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.36737106565	24	24	S1
