median_of_depth_bin	sensitivity	specificity
0	0.017241379310344827	1
4	0.5689655172413793	1
8	0.7758620689655172	1
12	0.9482758620689655	1
16	0.9482758620689655	1
20	0.9655172413793104	1
24	0.9655172413793104	1
28	0.9655172413793104	1
32	0.9655172413793104	1
36	0.9827586206896551	1
40	1	1
44	1	1
48	1	0.992
