Disease	Eval_ID	gene
embryonal rhabdomyosarcoma	TH_Eval_014	NAT9
embryonal rhabdomyosarcoma	TH_Eval_014	NCKAP5L
embryonal rhabdomyosarcoma	TH_Eval_014	NDUFAF5
embryonal rhabdomyosarcoma	TH_Eval_014	NEB
embryonal rhabdomyosarcoma	TH_Eval_014	NGFR
embryonal rhabdomyosarcoma	TH_Eval_014	NKAIN4
embryonal rhabdomyosarcoma	TH_Eval_014	NNAT
embryonal rhabdomyosarcoma	TH_Eval_014	NPTX2
embryonal rhabdomyosarcoma	TH_Eval_014	NPY
embryonal rhabdomyosarcoma	TH_Eval_014	OGN
embryonal rhabdomyosarcoma	TH_Eval_014	PCDH8
embryonal rhabdomyosarcoma	TH_Eval_014	PDLIM7
embryonal rhabdomyosarcoma	TH_Eval_014	PHRF1
embryonal rhabdomyosarcoma	TH_Eval_014	PIDD1
embryonal rhabdomyosarcoma	TH_Eval_014	PIGU
embryonal rhabdomyosarcoma	TH_Eval_014	PITX3
embryonal rhabdomyosarcoma	TH_Eval_014	POPDC3
embryonal rhabdomyosarcoma	TH_Eval_014	PPM1F
embryonal rhabdomyosarcoma	TH_Eval_014	PPP1R14B
embryonal rhabdomyosarcoma	TH_Eval_014	PRR5
embryonal rhabdomyosarcoma	TH_Eval_014	PRSS12
embryonal rhabdomyosarcoma	TH_Eval_014	PSPC1
embryonal rhabdomyosarcoma	TH_Eval_014	PTDSS2
embryonal rhabdomyosarcoma	TH_Eval_014	RAPSN
embryonal rhabdomyosarcoma	TH_Eval_014	RBM24
embryonal rhabdomyosarcoma	TH_Eval_014	RCOR2
embryonal rhabdomyosarcoma	TH_Eval_014	REXO1
embryonal rhabdomyosarcoma	TH_Eval_014	RGMB
embryonal rhabdomyosarcoma	TH_Eval_014	RNA5SP216
embryonal rhabdomyosarcoma	TH_Eval_014	RP1-302G2.5
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-161M6.2
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-260A9.6
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-343H5.4
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-386I14.4
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-488C13.5
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-658F2.8
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-680F20.12
embryonal rhabdomyosarcoma	TH_Eval_014	RP11-732A19.5
embryonal rhabdomyosarcoma	TH_Eval_014	RP4-669L17.8
embryonal rhabdomyosarcoma	TH_Eval_014	RP4-765C7.2
embryonal rhabdomyosarcoma	TH_Eval_014	RSAD1
embryonal rhabdomyosarcoma	TH_Eval_014	RTN2
embryonal rhabdomyosarcoma	TH_Eval_014	RYR1
embryonal rhabdomyosarcoma	TH_Eval_014	SARS2
embryonal rhabdomyosarcoma	TH_Eval_014	SCX
embryonal rhabdomyosarcoma	TH_Eval_014	SEMA6B
embryonal rhabdomyosarcoma	TH_Eval_014	SGCA
embryonal rhabdomyosarcoma	TH_Eval_014	SHD
embryonal rhabdomyosarcoma	TH_Eval_014	SHISA2
embryonal rhabdomyosarcoma	TH_Eval_014	SIX2
embryonal rhabdomyosarcoma	TH_Eval_014	SKP2
embryonal rhabdomyosarcoma	TH_Eval_014	SLC35B1
embryonal rhabdomyosarcoma	TH_Eval_014	SNORA71
embryonal rhabdomyosarcoma	TH_Eval_014	SNRPEP4
embryonal rhabdomyosarcoma	TH_Eval_014	SNRPGP10
embryonal rhabdomyosarcoma	TH_Eval_014	SOX8
embryonal rhabdomyosarcoma	TH_Eval_014	SPACA6P
embryonal rhabdomyosarcoma	TH_Eval_014	SPRY2
embryonal rhabdomyosarcoma	TH_Eval_014	SPRY4
embryonal rhabdomyosarcoma	TH_Eval_014	SPSB4
embryonal rhabdomyosarcoma	TH_Eval_014	SSBP4
embryonal rhabdomyosarcoma	TH_Eval_014	STAC3
embryonal rhabdomyosarcoma	TH_Eval_014	SUGP2
embryonal rhabdomyosarcoma	TH_Eval_014	SUV420H2
embryonal rhabdomyosarcoma	TH_Eval_014	TCEAL7
embryonal rhabdomyosarcoma	TH_Eval_014	TCERG1
embryonal rhabdomyosarcoma	TH_Eval_014	THBS4
embryonal rhabdomyosarcoma	TH_Eval_014	TMEM259
embryonal rhabdomyosarcoma	TH_Eval_014	TMEM88
embryonal rhabdomyosarcoma	TH_Eval_014	TNMD
embryonal rhabdomyosarcoma	TH_Eval_014	TNNC1
embryonal rhabdomyosarcoma	TH_Eval_014	TNNC2
embryonal rhabdomyosarcoma	TH_Eval_014	TNNI1
embryonal rhabdomyosarcoma	TH_Eval_014	TNNI2
